year,income_per_capita,ipc,ipc_base2004,income_base2004
2004,11621,75.479,100,11621
2005,12008,78.022,103.3691490348309,11616.618799825688
2006,12643,80.765,107.00327243339207,11815.526490435213
2007,13266,83.015,109.98423402535803,12061.728771908693
2008,16190,86.399,114.46760025967488,14143.74020532645
2009,17042,86.15,114.13770717683065,14931.086686012768
2010,16922,87.701,116.19258336755918,14563.752271923924
2011,16280,90.504,119.90619907523947,13577.279678246265
2012,16119,92.717,122.83814040991534,13122.145895574706
2013,15635,94.023,124.56842300507425,12551.334939323358
2014,15405,93.881,124.38029120682575,12385.40274389919
2015,15408,93.412,123.75892632387817,12450.011047831113
2016,15842,93.222,123.50720067833436,12826.782497693679
2017,16390,95.046,125.9237668755548,13015.811396586914
2018,16937,96.638,128.03296281084806,13228.624588671122
2019,17287,97.314,128.92857616025648,13408.198953901803
2020,18116,97,128.5125664091999,14096.675917525774
2021,18103,100,132.48718186515455,13663.96337
2022,19160,108.391,143.60418129545965,13342.229889935514
2023,20676,112.219,148.67579061725777,13906.769833985332
